enderecos,lon,lat,endereco
"SERAFIM CASTANHO, 0 - CENTRO, Manaquiri - AM, 69435000",-60.4590459,-3.4327196,"SERAFIM CASTANHO, 0 - CENTRO, Manaquiri - AM, 69435000"
"C, QD 67, 46 - CIDADE NOVA, Manaus - AM, 69097748",-59.9752291,-2.9910871,"C, QD 67, 46 - CIDADE NOVA, Manaus - AM, 69097748"
"8, 13 - ALFREDO NASCIMENTO, Manaus - AM, 69099435",-59.9533735,-3.0150495,"8, 13 - ALFREDO NASCIMENTO, Manaus - AM, 69099435"
"Sao Lazaro, 26 - Betânia, Manaus - AM, 69073091",-59.9950334,-3.13787,"Sao Lazaro, 26 - Betânia, Manaus - AM, 69073091"
"Rua da industria, 20 - Compensa 1, Manaus - AM, 69030070",-60.05201400000001,-3.1020957,"Rua da industria, 20 - Compensa 1, Manaus - AM, 69030070"
"CARVALHO LEAL, 1151 - CACHOEIRINHA, Manaus - AM, 69065001",-60.00642329999999,-3.1254164,"CARVALHO LEAL, 1151 - CACHOEIRINHA, Manaus - AM, 69065001"
"ABÍLIO ALENCAR, 0 - ALVORADA I, Manaus - AM, 69043324",-60.04859750000001,-3.0788031,"ABÍLIO ALENCAR, 0 - ALVORADA I, Manaus - AM, 69043324"
"RUA QUATRO, 85 - Amazonino Mendes, Manaus - AM, 69095001",-59.9411809,-3.0616085,"RUA QUATRO, 85 - Amazonino Mendes, Manaus - AM, 69095001"
"OLINDA, 0 - REDENÇÃO, Manaus - AM, 69047501",-60.04642429999999,-3.0556514,"OLINDA, 0 - REDENÇÃO, Manaus - AM, 69047501"
"BRASIL, 0 - SANTO ANTÔNIO, Manaus - AM, 69029040",-60.0733491,-3.0898606,"BRASIL, 0 - SANTO ANTÔNIO, Manaus - AM, 69029040"
"4, 0 - SÃO JOSE III, Manaus - AM, 69043150",-59.9432561,-3.0697164,"4, 0 - SÃO JOSE III, Manaus - AM, 69043150"
"MAGALHÃES BARATA, 0 - CRESPO, Manaus - AM, 69073440",-59.9906629,-3.1346754,"MAGALHÃES BARATA, 0 - CRESPO, Manaus - AM, 69073440"
"RIO CARAVARI, 0 - SÃO JOSÉ IV, Manaus - AM, 69086000",-59.9977226,-3.0186573,"RIO CARAVARI, 0 - SÃO JOSÉ IV, Manaus - AM, 69086000"
"Barreirinha, 18 - União, Manaus - AM, 69040000",-60.0229248,-3.0792197,"Barreirinha, 18 - União, Manaus - AM, 69040000"
"SÃO BENTO, 0 - GLÓRIA, Manaus - AM, 69027790",-60.0354109,-3.1233297,"SÃO BENTO, 0 - GLÓRIA, Manaus - AM, 69027790"
"RAUL RIBEIRO, 0 - COLÔNIA ANTÔNIO ALEIXO, Manaus - AM, 69008120",-59.882706399999996,-3.0875236,"RAUL RIBEIRO, 0 - COLÔNIA ANTÔNIO ALEIXO, Manaus - AM, 69008120"
"ARQUITETO JOSÉ MIRIM, 3760 - MONTE DAS OLIVEIRAS, Manaus - AM, 69093149",-60.00004569999999,-3.0006489,"ARQUITETO JOSÉ MIRIM, 3760 - MONTE DAS OLIVEIRAS, Manaus - AM, 69093149"
"13, 0 - Alvorada III, Manaus - AM, 69042125",-60.0575392,-3.0743579,"13, 0 - Alvorada III, Manaus - AM, 69042125"
