code_suas,municipio,cod_ibge,uf,nome_centro,tipo_centro,endereco,telefone,data_abertura,fonte_centros,fonte_geocode,lon,lat
15024015300,Castanhal,1502400,PA,CRAS PROFESSOR MARIO BARBOSA,CRAS,"PROFESSOR AMARAL, 100 - APEU, Castanhal - PA, 68740540",91988861005,01/03/2009,MDS,Google,-47.9846297,-1.2942436
35405006535,Porangaba,3540507,SP,Centro de Referência de Asisistência Social,CRAS,"PROFESSOR ANTONIO FREIRE DE SOUZA, 215 - Centro, Porangaba - SP, 18260000",1532571275,01/11/2007,MDS,Google,-48.1246172,-23.1758928
29040006806,Boninal,2904001,BA,CRAS Quilombola,CRAS,"PROFESSOR ARMENIO SANTANA PAIVA, 650 - Centro, Boninal - BA, 46740000",7533302046,18/07/2008,MDS,Google,-41.7224435,-12.8164839
22110020377,Teresina,2211001,PI,CRAS SUDESTE IV,CRAS,"PROFESSOR CAMILO FILHO, 0 - VERDE CAP III, Teresina - PI, 64093020",8632359800,28/03/2010,MDS,Google,-42.7156987,-5.1085062
33027035429,Maricá,3302700,RJ,CRAS ITAIPUAÇU,CRAS,"PROFESSOR CARDOSO DE MENEZES QUADRA 01 LOTE 37, 0 - ITAIPUAÇU, Maricá - RJ, 24900000",2126386525,02/04/2012,MDS,Google,-42.9620961,-22.9555529
35032036205,Araraquara,3503208,SP,CRAS IDA GARCIA DA CRUZ,CRAS,"PROFESSOR DOUTOR CELSO EDUARDO DE MORAES BARBOSA, 79 - JARDIM CRUZEIRO DO SUL I, Araraquara - SP, 14808556",1633369982,31/03/2012,MDS,Google,-48.1406172,-21.8160522
31062000131,Belo Horizonte,3106200,MG,CRAS ARTHUR DE SÁ,CRAS,"PROFESSOR GERALDO FONTES, 30 - UNIÃO, Belo Horizonte - MG, 31170540",3132775614,22/06/2002,MDS,Google,-43.9200654,-19.8808976
31211038136,Delfim Moreira,3121100,MG,CRAS Delfim Moreira,CRAS,"PROFESSOR GUSTAVO S. MOREIRA, 40 - Centro, Delfim Moreira - MG, 37514000",35999113248,11/11/2014,MDS,Google,-45.2792661,-22.5099058
35522038282,Sorocaba,3552205,SP,CRAS ANA PAULA ELEUTÉRIO,CRAS,"PROFESSOR HORACIO BLASECK, 246 - ANA PAULA ELEUTÉRIO, Sorocaba - SP, 18076005",1532264687,17/04/2015,MDS,Google,-47.4823811,-23.4225424
22113002139,Valença do Piauí,2211308,PI,CRAS I,CRAS,"PROFESSOR JOAO SOARES, 0 - CENTRO, Valença do Piauí - PI, 64300000",8934652272,01/07/2004,MDS,Google,-41.73620590000001,-6.4022508
31357000063,Jequitibá,3135704,MG,CRAS Antônio Saturnino Lopes,CRAS,"PROFESSOR JOSÉ REIS, 941 - CENTRO, Jequitibá - MG, 35767000",3137176246,01/04/2006,MDS,Google,-44.0239283,-19.235909
31405038046,Martinho Campos,3140506,MG,CRAS IBITIRA,CRAS,"PROFESSOR JOSÉ TIBÚRCIO RIBEIRO, 174 - IBITIRA, Martinho Campos - MG, 35607000",3735246156,01/08/2014,MDS,Google,-45.154668,-19.4207047
24085031475,Ouro Branco,2408508,RN,CRAS,CRAS,"PROFESSOR LUIZ CIRILO, 190 - Centro, Ouro Branco - RN, 59347000",8434770067,21/03/2011,MDS,Google,-36.943348,-6.7049673
23044004035,Fortaleza,2304400,CE,CRAS MUCURIPE,CRAS,"PROFESSOR LUIZ COSTA, 142 - MUCURIPE, Fortaleza - CE, 60175550",8534527348,01/08/2004,MDS,Google,-38.4777735,-3.7269223
25164004681,Tacima,2516409,PB,CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA  SOCIAL,CRAS,"PROFESSOR MARIA DO CARMO BORGES FERREIRA, 0 - CENTRO, Tacima - PB, 58240000",8333781009,01/01/2007,MDS,Google,-35.6392297,-6.488211799999999
25010004986,Araruna,2501005,PB,CRAS Araruna,CRAS,"PROFESSOR MOREIRA, 252 - Centro, Araruna - PB, 58233000",8333731010,01/07/2008,MDS,Google,-35.738603,-6.531632
31433002243,Montes Claros,3143302,MG,CRAS Major Prates,CRAS,"PROFESSOR RAIMUNDO NETO, 701 - MAJOR PRATES, Montes Claros - MG, 39403213",3832291514,01/12/2005,MDS,Google,-43.879128,-16.7493185
41101010924,Imbituva,4110102,PR,CRAS JARDIM TANGARÁ,CRAS,"PROFESSOR SOUZA ARAUJO, 232 - JARDIM TANGARA, Imbituva - PR, 84430000",4234361343,13/03/2009,MDS,Google,-50.6049194,-25.2286262
33024503409,Macuco,3302452,RJ,CRAS I - Terezinha Pinheiro Martinelli,CRAS,"PROFESSORA ADILVA FIGUEIREDO COSTA, 1 - SANTOS REIS, Macuco - RJ, 28545000",2225541703,01/11/2005,MDS,Google,-42.2569717,-21.9885516
31715015442,Mathias Lobato,3171501,MG,CRAS - Centro de Referência de Assistência Social de Mathias Lobato,CRAS,"PROFESSORA ANA MORAIS PESSAMILIO, 144 - Centro, Mathias Lobato - MG, 35110000",3332842019,01/03/2009,MDS,Google,-41.9176109,-18.5753591
29082014866,Conceição da Feira,2908200,BA,CRAS SABER VIVER,CRAS,"PROFESSORA ANTONIETA FALCÃO, 0 - CENTRO, Conceição da Feira - BA, 44320000",7532442113,06/03/2009,MDS,Google,-38.9988914,-12.5085412
23087020475,Morada Nova,2308708,CE,CRAS  FAMILIA FELIZ ARUARU,CRAS,"PROFESSORA AURÉLIA, 100 - DISTRITO ARUARU, Morada Nova - CE, 62951000",8834222192,09/04/2010,MDS,Google,-38.3634909,-4.583516599999999
52012030324,Anhanguera,5201207,GO,CRAS - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,CRAS,"PROFESSORA JULIA DE BRITO, 0 - CENTRO, Anhanguera - GO, 75770000",6434691146,11/07/2011,MDS,Google,-48.2180818,-18.3350544
43202631437,Segredo,4320263,RS,CRAS PENSANDO NO AMANHA,CRAS,"PROFESSORA LEONIDA UNFER, 235 - CENTRO, Segredo - RS, 96910000",5137451180,14/03/2011,MDS,Google,-52.9777016,-29.3435384
26041004572,Caruaru,2604106,PE,CRAS CENTENÁRIO,CRAS,"PROFESSORA MARIA EMÍLIA, 460 - CENTENÁRIO, Caruaru - PE, 55008430",8137211611,01/12/2006,MDS,Google,-35.9797888,-8.2820723
42054000762,Florianópolis,4205407,SC,CRAS Centro I,CRAS,"PROFESSORA MARIA JULIA FRANCO, 281 - JOSE MENDES, Florianópolis - SC, 88020280",4832220148,01/11/2004,MDS,Google,-48.5478992,-27.6092072
22057003928,Luís Correia,2205706,PI,CRAS LUIS CORREIA,CRAS,"PROFº ANTONIO DE PADUA DA COSTA LIMA, 731 - CENTRO, Luís Correia - PI, 64220000",8694030705,01/01/2007,MDS,Google,-41.665279,-2.8847152
42114510700,Nova Itaberaba,4211454,SC,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,CRAS,"PROGRESSO, 436 - CENTRO, Nova Itaberaba - SC, 89818000",4933270191,01/04/2009,MDS,Google,-52.8110922,-26.9417327
33002335893,Armação dos Búzios,3300233,RJ,CRAS Cem Braças,CRAS,"PROGRESSO, 540 - CEM BRAÇAS, Armação dos Búzios - RJ, 28950000",2226330937,14/05/2012,MDS,Google,-41.9308662,-22.7772288
21021004217,Brejo,2102101,MA,CRAS SANTO ANTONIO,CRAS,"PROJETADA I, 0 - SANTO ANTONIO, Brejo - MA, 65520000",9834721440,01/01/2005,MDS,Google,-42.7547469,-3.678506
22053500425,João Costa,2205359,PI,CRAS - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,CRAS,"PROJETADA, 0 - CENTRO, João Costa - PI, 64765000",8934860029,01/02/2007,MDS,Google,-42.4724578,-8.484871
